"CubeId";"zimoma"
"PublishingDate";"2024-11-01 14:30"

"Date";"D0";"Value"
"2004-01";"EG3M";"0.115"
"2004-01";"SOFR";
"2004-01";"3M1";"1.13"
"2004-01";"TONA";"0.001"
"2004-01";"SONIA";"3.772"
"2004-01";"3M3";"4.145"
"2004-01";"ESTR";
"2004-01";"EURIBOR";"2.093"
"2004-02";"SARON";"0.100093"
"2004-02";"1TGT";"0.09"
"2004-02";"EG3M";"0.15"
"2004-02";"SOFR";
"2004-02";"3M1";"1.12"
"2004-02";"TONA";"0.001"
"2004-02";"SONIA";"3.6589"
"2004-02";"3M3";"4.20438"
"2004-02";"ESTR";
"2004-02";"EURIBOR";"2.052"
"2004-03";"SARON";"0.110365"
"2004-03";"1TGT";"0.1"
"2004-03";"EG3M";"0.135"
"2004-03";"SOFR";
"2004-03";"3M1";"1.11"
"2004-03";"TONA";"0.005"
"2004-03";"SONIA";"3.6909"
"2004-03";"3M3";"4.375"
"2004-03";"ESTR";
"2004-03";"EURIBOR";"1.958"
"2004-04";"SARON";"0.108065"
"2004-04";"1TGT";"0.12"
"2004-04";"EG3M";"0.182"
"2004-04";"SOFR";
"2004-04";"3M1";"1.18"
"2004-04";"TONA";"0.001"
"2004-04";"SONIA";"3.9925"
"2004-04";"3M3";"4.43375"
"2004-04";"ESTR";
"2004-04";"EURIBOR";"2.073"
"2004-05";"SARON";"0.112946"
"2004-05";"1TGT";"0.1"
"2004-05";"EG3M";"0.17"
"2004-05";"SOFR";
"2004-05";"3M1";"1.315"
"2004-05";"TONA";"0.002"
"2004-05";"SONIA";"4.6399"
"2004-05";"3M3";"4.6575"
"2004-05";"ESTR";
"2004-05";"EURIBOR";"2.087"
"2004-06";"SARON";"0.360676"
"2004-06";"1TGT";"0.36"
"2004-06";"EG3M";"0.329"
"2004-06";"SOFR";
"2004-06";"3M1";"1.61"
"2004-06";"TONA";"0.002"
"2004-06";"SONIA";"4.7368"
"2004-06";"3M3";"4.84375"
"2004-06";"ESTR";
"2004-06";"EURIBOR";"2.12"
"2004-07";"SARON";"0.1953"
"2004-07";"1TGT";"0.22"
"2004-07";"EG3M";"0.42"
"2004-07";"SOFR";
"2004-07";"3M1";"1.7"
"2004-07";"TONA";"0.001"
"2004-07";"SONIA";"4.2418"
"2004-07";"3M3";"4.93875"
"2004-07";"ESTR";
"2004-07";"EURIBOR";"2.116"
"2004-08";"SARON";"0.173508"
"2004-08";"1TGT";"0.18"
"2004-08";"EG3M";"0.448"
"2004-08";"SOFR";
"2004-08";"3M1";"1.8"
"2004-08";"TONA";"0.001"
"2004-08";"SONIA";"4.6304"
"2004-08";"3M3";"4.9625"
"2004-08";"ESTR";
"2004-08";"EURIBOR";"2.115"
"2004-09";"SARON";"0.53447"
"2004-09";"1TGT";"0.54"
"2004-09";"EG3M";"0.586"
"2004-09";"SOFR";
"2004-09";"3M1";"2.02"
